Actual_Class,Predicted_Class,Safe_Probability,Warning_Probability,Unsafe_Probability,Conductivity,NO3,Temp,Turbidity,Level,Q,Hour_sin,Hour_cos,Month_sin,Month_cos,IsWeekend,Correct_Prediction
Unsafe,Unsafe,0.0,0.0008225035025644331,0.9991774964974356,158.09,0.337,24.19,67.09,15.3,259.6345,-0.9659258262890684,0.2588190451025203,-2.4492935982947064e-16,1.0,0.0,1
Unsafe,Unsafe,0.0,0.0,1.0,20117.25,0.295,29.9,63.67,8.32857142857143,-42.443333333333335,-0.4999999999999998,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,0.0,1
Safe,Safe,1.0,0.0,0.0,464.55,0.332,19.88,2.07,0.5660000000000001,0.3421666666666667,-0.25881904510252157,0.9659258262890681,-1.0,-1.8369701987210297e-16,0.0,1
Safe,Safe,0.9866155401911659,0.013384459808834025,0.0,58.6,0.107,21.59,4.03,15.685,113.30333333333331,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,1.0,1
Warning,Warning,0.01,0.9813575469976272,0.008642453002372695,327.35,0.358,26.95,16.16,0.701,1.2003333333333333,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1.0,1
Warning,Warning,0.0,1.0,0.0,38.78,0.209,26.02,12.75,3.571,179.0666666666667,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,1.0,1
Unsafe,Unsafe,0.0,0.0,1.0,148.43,0.422,27.63,77.74,2.6222857142857143,20.73333333333333,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,1.0,1
Safe,Safe,1.0,0.0,0.0,704.12,0.7559999999999999,19.77,2.26,0.541,0.2501666666666666,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,1.0,1
Warning,Warning,0.0,0.9906372960624918,0.009362703937508153,183.72,0.057,27.25,29.64,1.364,9.975,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,0.0,1
Unsafe,Unsafe,0.0,0.0,1.0,115.35,0.064,26.85,95.73,2.798,53.70666666666667,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,0.0,1
Warning,Warning,0.012606906816593426,0.9873930931834066,0.0,46.63,0.117,20.69,8.36,15.12857142857143,183.855,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,1.0,1
Safe,Safe,0.9868167205848988,0.013183279415101255,0.0,11122.88,0.152,29.17,4.52,10.179999999999998,68.58875,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0,0.0,1
Safe,Safe,0.8764779346210183,0.12352206537898157,0.0,54.01,0.246,23.98,5.0,10.828571428571427,113.545,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.49999999999999983,0.0,1
Unsafe,Unsafe,0.0,0.01,0.99,32.62,0.246,24.67,64.74,6.759600000000002,596.5166666666668,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1.0,1
Warning,Warning,0.020625024769508185,0.9716823215407939,0.0076926536896978846,870.26,0.085,25.1,9.78,0.705,1.2258333333333336,0.9659258262890683,-0.25881904510252063,-2.4492935982947064e-16,1.0,1.0,1
Safe,Safe,1.0,0.0,0.0,665.72,0.487,18.38,2.4,0.57,0.3571666666666666,0.25881904510252074,0.9659258262890683,-0.4999999999999998,-0.8660254037844388,0.0,1
Unsafe,Unsafe,0.0,0.0,1.0,20493.57,0.052,19.93,196.45,7.789428571428571,70.13333333333334,0.9659258262890683,0.25881904510252074,-0.8660254037844384,-0.5000000000000004,1.0,1
Safe,Safe,0.9720518320538116,0.027948167946188433,0.0,752.84,0.245,29.56,2.69,10.597499999999998,-15.345666666666665,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,1.0,1
Warning,Warning,0.018537647733434772,0.9814623522665653,0.0,830.34,0.141,28.68,7.48,15.25,130.56533333333334,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,1.0,1
Safe,Safe,0.9641789007841792,0.03582109921582073,0.0,2415.48,0.013,28.9,3.59,10.11,-4.179333333333333,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,0.0,1
Warning,Warning,0.00476301601351895,0.9952369839864811,0.0,74.88,0.282,27.89,8.93,15.18,50.15466666666666,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,1.0,1
Unsafe,Unsafe,0.0,0.0009479264904544646,0.9990520735095455,3426.1,0.071,24.9,302.35,7.620285714285713,-80.83500000000002,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,0.0,1
Warning,Warning,0.0,1.0,0.0,44.63,0.12,25.76,10.38,15.78,364.53,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,0.0,1
Safe,Safe,1.0,0.0,0.0,622.12,0.595,17.5,2.46,0.551,0.2823333333333334,0.7071067811865476,-0.7071067811865475,-0.8660254037844384,-0.5000000000000004,1.0,1
Warning,Warning,0.0,0.9855686157071198,0.014431384292880139,18654.449,0.026,21.63,46.62,7.847428571428572,-24.01833333333333,0.0,1.0,-1.0,-1.8369701987210297e-16,0.0,1
Warning,Warning,0.0,0.9902776678587694,0.009722332141230578,8.19,0.326,25.2,24.23,2.28,72.84833333333334,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.0,1
Warning,Warning,0.0,1.0,0.0,278.07,0.199,27.58,11.34,0.856,2.5610000000000004,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,1.0,1
Warning,Warning,0.009331243756535327,0.9906687562434645,0.0,78.19,0.159,26.39,5.69,14.698,161.6833333333333,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,1.0,1
Safe,Safe,1.0,0.0,0.0,18833.289,0.034,27.59,2.48,10.795,-21.20683333333333,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0.0,1
Safe,Safe,0.9888461757536998,0.011153824246300055,0.0,4482.31,0.025,28.77,2.64,10.165,-18.030800000000006,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,1.0,1
Warning,Warning,0.0,1.0,0.0,329.98,0.288,26.38,12.87,0.682,0.9535,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.0,1
Warning,Warning,0.051020816446199754,0.9489791835538003,0.0,692.12,0.276,20.86,5.06,0.453,0.0409999999999999,0.0,1.0,-1.0,-1.8369701987210297e-16,0.0,1
